2024-04-08 15:17:24 - INFO - Iteration: 83, Time: 0.01 seconds, Best Distance: 56207.202742572605
2024-04-08 15:17:24 - INFO - Iteration: 84, Time: 0.01 seconds, Best Distance: 56207.202742572605
2024-04-08 15:17:24 - INFO - Iteration: 85, Time: 0.01 seconds, Best Distance: 56207.202742572605
2024-04-08 15:17:24 - INFO - Iteration: 86, Time: 0.01 seconds, Best Distance: 56207.202742572605
2024-04-08 15:17:24 - INFO - Iteration: 87, Time: 0.00 seconds, Best Distance: 56207.202742572605
2024-04-08 15:17:24 - INFO - Iteration: 88, Time: 0.01 seconds, Best Distance: 53251.08374670986
2024-04-08 15:17:24 - INFO - Iteration: 89, Time: 0.01 seconds, Best Distance: 53251.08374670986
2024-04-08 15:17:24 - INFO - Iteration: 90, Time: 0.01 seconds, Best Distance: 53251.08374670986
2024-04-08 15:17:24 - INFO - Iteration: 91, Time: 0.00 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:24 - INFO - Iteration: 92, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:24 - INFO - Iteration: 93, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:24 - INFO - Iteration: 94, Time: 0.00 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:24 - INFO - Iteration: 95, Time: 0.00 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:24 - INFO - Iteration: 96, Time: 0.00 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:24 - INFO - Iteration: 97, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:24 - INFO - Iteration: 98, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:24 - INFO - Iteration: 99, Time: 0.00 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:24 - INFO - Iteration: 100, Time: 0.00 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:24 - INFO - Iteration: 101, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:24 - INFO - Iteration: 102, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:24 - INFO - Iteration: 103, Time: 0.01 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 104, Time: 0.00 seconds, Best Distance: 53235.30127630094
2024-04-08 15:17:25 - INFO - Iteration: 105, Time: 0.00 seconds, Best Distance: 53235.30127630094
